subwatershed,huc12,watershed,huc10,subbasin,huc8,basin,huc6,to_huc,area_sq_mi,area_acres,population_2000,population_2010,population_2020,Shape_Length,Shape_Area,Area_m2,PADPercArea
Maxton Pond-Shoe Heel Creek,030402040305,Shoe Heel Creek,0304020403,Little Pee Dee,03040204,Lumber,030402,030402040504,44.299340873965363,28351.578155659768527,,3452,3281,96232.708207520714495,170062568.703975409269333,114734517.880313724279404,0.0000000
Carolina Branch-Little Pee Dee River,030402040501,Middle Little Pee Dee River,0304020405,Little Pee Dee,03040204,Lumber,030402,030402040504,0.873459275792110,559.013936434429525,,42,36,11902.553567120829030,3345339.174364035017788,2261953.155732597690076,0.0000000
Hayes Swamp,030402040503,Middle Little Pee Dee River,0304020405,Little Pee Dee,03040204,Lumber,030402,030402040504,17.254964141450287,11043.177049095547773,,1068,858,43841.939193939768302,65995769.938540630042553,44687628.002058222889900,0.0000000
Mitchell Swamp,030402040601,Lake Swamp-Little Pee Dee River,0304020406,Little Pee Dee,03040204,Lumber,030402,030402040603,8.277469516899794,5297.580490128611018,,984,1112,35768.415788566489937,31400762.675808589905500,21437216.851647660136223,0.0000000
Whites Creek,030402060101,Red Hill Swamp,0304020601,Waccamaw,03040206,Lumber,030402,030402060102,17.719140153139808,11340.249696538301578,,1096,768,45616.384173998114420,67817929.237321466207504,45892362.338488616049290,0.0000000
Brown Marsh Swamp,030402060102,Red Hill Swamp,0304020601,Waccamaw,03040206,Lumber,030402,030402060103,33.874347584150605,21679.582451043886977,,1745,1733,70975.808853634458501,129512323.671507552266121,87734157.075945556163788,0.3692424
Elkton Swamp,030402060103,Red Hill Swamp,0304020601,Waccamaw,03040206,Lumber,030402,030402060105,41.049929397940168,26271.954811273433734,,1358,1085,65713.140515111415880,156855125.469155699014664,106318829.259018585085869,0.4056569
Western Prong,030402060104,Red Hill Swamp,0304020601,Waccamaw,03040206,Lumber,030402,030402060203,38.876194178809413,24880.764271210231527,,2657,2415,70224.528922413242981,148341739.837117820978165,100688879.671212449669838,0.0000000
Slades Swamp-Red Hill Swamp,030402060105,Red Hill Swamp,0304020601,Waccamaw,03040206,Lumber,030402,030402060203,40.499966230233426,25919.978383986781409,,1605,1468,64606.784259091684362,154613160.555997610092163,104894430.687635555863380,0.0152847
Cedar Branch-Fivemile Branch,030402060201,White Marsh,0304020602,Waccamaw,03040206,Lumber,030402,030402060202,19.631751005952243,12564.320642179462084,,3266,2824,42135.281046180025442,74706003.963595941662788,50846001.639713585376740,0.0000000
Soules Swamp,030402060202,White Marsh,0304020602,Waccamaw,03040206,Lumber,030402,030402060203,29.173947598280776,18671.326460477459477,,5730,5029,57168.333982842137630,111036464.517109006643295,75560177.337127715349197,0.0000000
Town of Whiteville-White Marsh,030402060203,White Marsh,0304020602,Waccamaw,03040206,Lumber,030402,030402060204,45.469388628788600,29100.408718649494404,,4219,3736,80035.372564153905842,173249719.005263298749924,117765176.299880236387253,1.5033033
Cypress Creek-White Marsh,030402060204,White Marsh,0304020602,Waccamaw,03040206,Lumber,030402,030402060306,39.711029295829995,25415.058746034090291,,2350,1885,71101.525608051422751,150852368.205546677112579,102851093.860621988773346,0.0000000
Sasspan Branch-Boggy Branch,030402060301,Headwaters Waccamaw River,0304020603,Waccamaw,03040206,Lumber,030402,030402060303,43.628762882878064,27922.408241419572732,,1379,993,68152.286502561066300,166347073.344174444675446,112997976.828031614422798,1.5323045
Slap Swamp,030402060302,Headwaters Waccamaw River,0304020603,Waccamaw,03040206,Lumber,030402,030402060303,17.090362264497394,10937.831847859362824,,659,559,43646.577877600691863,65157823.064389735460281,44263832.942616313695908,4.3420839
Green Swamp-Big Creek,030402060303,Headwaters Waccamaw River,0304020603,Waccamaw,03040206,Lumber,030402,030402060304,43.776835561952943,28017.174756015203457,,1155,962,66894.381972877657972,166542573.738058120012283,113381485.066218182444572,18.8586311
Lake Waccamaw,030402060304,Headwaters Waccamaw River,0304020603,Waccamaw,03040206,Lumber,030402,030402060306,15.821007524698141,10125.444814493232116,,625,563,31356.759913938538375,60174587.769493080675602,40976220.663490019738674,91.3298798
Bogue Swamp,030402060305,Headwaters Waccamaw River,0304020603,Waccamaw,03040206,Lumber,030402,030402060306,38.965217426885260,24937.739149971381266,,1579,1407,61639.589387664665992,148366874.965560078620911,100919449.420737922191620,0.0000000
Boggy Swamp-Waccamaw River,030402060306,Headwaters Waccamaw River,0304020603,Waccamaw,03040206,Lumber,030402,030402060601,43.555151262903301,27875.296804641839117,,1392,1055,91267.198336066590855,165479131.725739657878876,112807326.275677442550659,10.7167740
Bear Pen Islands Swamp,030402060401,Juniper Creek-Waccamaw River,0304020604,Waccamaw,03040206,Lumber,030402,030402060403,14.780016575227499,9459.210606918451958,,437,459,42962.737381997496414,56024103.567863769829273,38280053.226333625614643,19.9534473
Honey Island Swamp,030402060402,Juniper Creek-Waccamaw River,0304020604,Waccamaw,03040206,Lumber,030402,030402060403,39.875653547284074,25520.418266951033729,,1104,1088,61266.431233659583086,151295886.234916448593140,103277472.540401190519333,22.8809547
Upper Juniper Creek,030402060403,Juniper Creek-Waccamaw River,0304020604,Waccamaw,03040206,Lumber,030402,030402060405,52.527314570626970,33617.481320840051922,,1633,1644,92797.157870801529498,198872748.463023751974106,136045128.769307494163513,41.1236916
Alligator Swamp,030402060404,Juniper Creek-Waccamaw River,0304020604,Waccamaw,03040206,Lumber,030402,030402060405,14.538213205129717,9304.456450075947942,,467,458,33625.637614811683306,55065127.253608435392380,37653809.853804409503937,8.0994854
Lower Juniper Creek,030402060405,Juniper Creek-Waccamaw River,0304020604,Waccamaw,03040206,Lumber,030402,030402060601,45.750078262173240,29280.050083992362488,,1244,899,67552.230885768556618,173562571.727457135915756,118492143.847925409674644,22.3096142
Gum Swamp,030402060501,Seven Creeks,0304020605,Waccamaw,03040206,Lumber,030402,030402060502,29.868260655775895,19115.686817216686904,,2356,2392,74847.899072025305941,113364913.729612633585930,77358439.391692653298378,0.0000000
Headwaters Monie Swamp,030402060502,Seven Creeks,0304020605,Waccamaw,03040206,Lumber,030402,030402060505,44.858210063696824,28709.254437041505298,,3804,3332,86244.841523146853433,170376342.935222864151001,116182230.492510676383972,0.0000000
Toms Fork,030402060503,Seven Creeks,0304020605,Waccamaw,03040206,Lumber,030402,030402060505,13.800846525656949,8832.541775274597967,,1897,975,30717.965210305475921,52273010.421209752559662,35743990.466153137385845,0.0000000
Juniper Swamp,030402060504,Seven Creeks,0304020605,Waccamaw,03040206,Lumber,030402,030402060505,11.110535746173205,7110.742876628371960,,763,492,34717.006194774337928,42049936.225194185972214,28775989.173163756728172,0.0000000
Monie Swamp-Grissett Swamp,030402060505,Seven Creeks,0304020605,Waccamaw,03040206,Lumber,030402,030402060506,47.389265227597086,30329.129741727523651,,4878,4880,94490.749631468774169,179631331.077232837677002,122737622.719103917479515,0.3038271
Grissett Swamp-Seven Creeks,030402060506,Seven Creeks,0304020605,Waccamaw,03040206,Lumber,030402,030402060605,20.566091508517818,13162.298563743852355,,546,584,49402.398249025442055,77830404.580713540315628,53265934.610774412751198,0.0000000
Horse Pen Swamp-Waccamaw River,030402060601,Gore Creek-Waccamaw River,0304020606,Waccamaw,03040206,Lumber,030402,030402060604,22.663771021778313,14504.813452056403548,,645,489,64936.003916259411199,85905298.806342393159866,58698898.394467554986477,17.4651394
Gore Lake-Gore Creek,030402060602,Gore Creek-Waccamaw River,0304020606,Waccamaw,03040206,Lumber,030402,030402060604,34.186225079281016,21879.184047901453596,,909,652,63461.957074742887926,129528057.752982676029205,88541910.764709338545799,0.4431644
Wet Ash Swamp,030402060603,Gore Creek-Waccamaw River,0304020606,Waccamaw,03040206,Lumber,030402,030402060605,30.885469572517316,19766.700523846739088,,1186,1144,52181.778700468043098,116773050.031098693609238,79993000.032005012035370,0.0000000
Bear Branch-Waccamaw River,030402060604,Gore Creek-Waccamaw River,0304020606,Waccamaw,03040206,Lumber,030402,030402060605,12.726927421674072,8145.233548814720962,,481,454,43549.966133376015932,48167640.846656523644924,32962595.614430341869593,1.7850922
Regan Branch-Waccamaw River,030402060605,Gore Creek-Waccamaw River,0304020606,Waccamaw,03040206,Lumber,030402,030402060702,12.925898059218250,8272.574756826476005,,573,559,34351.650953574629966,48873216.302610769867897,33477924.301825974136591,10.5258236
Cawcaw Swamp,030402060701,Buck Creek-Waccamaw River,0304020607,Waccamaw,03040206,Lumber,030402,030402060702,38.501602065567027,24641.025318766209239,,9450,12488,73778.399226176567026,145277808.644956380128860,99718038.745193883776665,0.0000000
Big Creek-Waccamaw River,030402060702,Buck Creek-Waccamaw River,0304020607,Waccamaw,03040206,Lumber,030402,030402060704,35.023869711406583,22415.276612392270181,,1644,1588,68485.759011299567646,132294792.568213969469070,90711400.407655820250511,1.6437744
Buck Creek,030402060703,Buck Creek-Waccamaw River,0304020607,Waccamaw,03040206,Lumber,030402,030402060704,20.129827950976182,12883.089886953426685,,536,578,44489.221825244341744,76102979.255065083503723,52135052.589738547801971,0.0000000
