subwatershed,huc12,watershed,huc10,subbasin,huc8,basin,huc6,to_huc,area_sq_mi,area_acres,population_2000,population_2010,population_2020,Shape_Length,Shape_Area,Area_m2,PADPercArea
Headwaters Grindle Creek,030201030601,Tar River,0302010306,Lower Tar,03020103,Tar-Pamlico,030201,030201030602,42.533709191051251,27221.573878741335648,,1933,1711,61750.245128853857750,167654424.334206521511078,110161797.751943260431290,0.0000000
Outlet Grindle Creek,030201030602,Tar River,0302010306,Lower Tar,03020103,Tar-Pamlico,030201,030201030605,35.535858297331195,22742.949307341514213,,3180,2311,70225.041516464320011,139752109.226307600736618,92037449.185921788215637,0.0000000
Headwaters Chicod Creek,030201030603,Tar River,0302010306,Lower Tar,03020103,Tar-Pamlico,030201,030201030604,25.610139771854257,16390.489451860379631,,2256,1961,55614.310247667992371,100310769.855562150478363,66329961.460681997239590,0.0000000
Outlet Chicod Creek,030201030604,Tar River,0302010306,Lower Tar,03020103,Tar-Pamlico,030201,030201030605,30.535894864757431,19542.972710909438320,,7794,8382,56662.775010621793626,119704948.605936065316200,79087599.342662975192070,0.0000000
Town of Grimesland-Tar River,030201030605,Tar River,0302010306,Lower Tar,03020103,Tar-Pamlico,030201,030201030606,40.024643140622800,25615.771606675447401,,21884,20741,84058.978161982187885,157133755.491187393665314,103663336.896537840366364,0.0000000
Bear Creek-Tar River,030201030606,Tar River,0302010306,Lower Tar,03020103,Tar-Pamlico,030201,030201040103,20.151748590638864,12897.119096335725771,,1790,1770,53045.702657739755523,79018109.024390861392021,52192786.474554434418678,2.1840811
Herring Run-Runyon Creek,030201040101,Chocowinity Bay-Pamlico River,0302010401,Pamlico,03020104,Tar-Pamlico,030201,030201040103,12.904525409965393,8258.896261306421366,,3294,3221,38921.261471095909656,50627557.102663427591324,33422570.585556600242853,0.0000000
Chocowinity Creek,030201040102,Chocowinity Bay-Pamlico River,0302010401,Pamlico,03020104,Tar-Pamlico,030201,030201040103,38.496029952851487,24637.459166628723324,,2420,2505,54502.965386853575183,150558941.559409677982330,99704260.216377630829811,0.0000000
Hills Creek-Pamlico River,030201040103,Chocowinity Bay-Pamlico River,0302010401,Pamlico,03020104,Tar-Pamlico,030201,030201040109,32.533488020667491,20821.432330526022270,,6524,6395,62617.013585038264864,127432744.652683824300766,84261348.549114152789116,0.0251459
Beaverdam Swamp,030201040104,Chocowinity Bay-Pamlico River,0302010401,Pamlico,03020104,Tar-Pamlico,030201,030201040105,16.680205583729702,10675.331572202094321,,1304,1254,47250.910629339181469,65472190.570823900401592,43201538.442657336592674,0.0000000
Broad Creek,030201040105,Chocowinity Bay-Pamlico River,0302010401,Pamlico,03020104,Tar-Pamlico,030201,030201040109,22.876214080881340,14640.777009864703359,,4662,4430,56744.725669691950316,89664450.143050983548164,59249118.722748912870884,0.0000000
Headwaters Blounts Creek,030201040106,Chocowinity Bay-Pamlico River,0302010401,Pamlico,03020104,Tar-Pamlico,030201,030201040107,43.385083480441253,27766.453423880248010,,1345,1330,62368.088363693066640,169311181.029263496398926,112366847.434716373682022,0.0000000
Outlet Blounts Creek,030201040107,Chocowinity Bay-Pamlico River,0302010401,Pamlico,03020104,Tar-Pamlico,030201,030201040109,15.743758404337322,10076.005377468722145,,453,450,38001.034083673759596,61527795.541845560073853,40776148.103162147104740,0.0000000
Upper Goose Creek,030201040108,Chocowinity Bay-Pamlico River,0302010401,Pamlico,03020104,Tar-Pamlico,030201,030201040109,14.950129863475862,9568.083111383280993,,759,766,38170.438304828770924,58557940.981619112193584,38720657.208348996937275,0.0000000
Duck Creek-Pamlico River,030201040109,Chocowinity Bay-Pamlico River,0302010401,Pamlico,03020104,Tar-Pamlico,030201,030201040204,39.678441426093983,25394.202509405749879,,906,899,66629.500401604964281,155173072.562918305397034,102766693.009985610842705,0.4239180
Back Creek-Bath Creek,030201040201,South Creek-Pamlico River,0302010402,Pamlico,03020104,Tar-Pamlico,030201,030201040204,39.237655552971454,25112.099550643928524,,1731,1665,58665.829400478076423,153673597.973977982997894,101625047.272838860750198,0.0000000
Headwaters Durham Creek,030201040202,South Creek-Pamlico River,0302010402,Pamlico,03020104,Tar-Pamlico,030201,030201040203,39.006512978997385,24964.168303319715051,,1269,1243,70806.625718694442185,151830772.954110622406006,101026390.326428249478340,0.0000000
Outlet Durham Creek,030201040203,South Creek-Pamlico River,0302010402,Pamlico,03020104,Tar-Pamlico,030201,030201040204,21.745020243069582,13916.812953759097581,,499,469,45044.071282558921666,84874788.946021929383278,56319348.024560019373894,0.0000000
Mixon Creek-Pamlico River,030201040204,South Creek-Pamlico River,0302010402,Pamlico,03020104,Tar-Pamlico,030201,030201040207,25.032115679555034,16020.554032836869737,,391,354,57510.517473947526014,97815655.706745326519012,64832842.725303620100021,0.0000000
Headwaters South Creek,030201040205,South Creek-Pamlico River,0302010402,Pamlico,03020104,Tar-Pamlico,030201,030201040206,40.498872601078915,25919.278461327987316,,846,962,51816.636585221669520,157632947.366529941558838,104891599.415614485740662,0.0000000
Indian Island-South Creek,030201040206,South Creek-Pamlico River,0302010402,Pamlico,03020104,Tar-Pamlico,030201,030201040207,50.740844024948849,32474.140171754377661,,704,580,78328.228960961321718,197869147.247634202241898,131418184.616852954030037,0.0000000
East Fork Pamlico River-Pamlico River,030201040207,South Creek-Pamlico River,0302010402,Pamlico,03020104,Tar-Pamlico,030201,030201040703,63.018799332262297,40332.031567415579048,,1055,924,73555.747645694384119,246250832.868045151233673,163217985.626213341951370,0.0000000
Long Acre,030201040301,Pantego Creek,0302010403,Pamlico,03020104,Tar-Pamlico,030201,030201040303,27.765234105233819,17769.749825044367753,,1394,805,57372.098544128923095,109463605.218111485242844,71911616.478677943348885,0.0000000
Van Swamp,030201040302,Pantego Creek,0302010403,Pamlico,03020104,Tar-Pamlico,030201,030201040303,21.847382173635495,13982.324589312784155,,1940,1112,42690.093604046422115,86013293.364080622792244,56584446.547438248991966,40.0427818
Number 2 Canal-Intercepting Canal,030201040303,Pantego Creek,0302010403,Pamlico,03020104,Tar-Pamlico,030201,030201040305,46.911891187013644,30023.610355793756753,,1121,711,66244.592446417795145,184570103.935320019721985,121501241.715917348861694,0.0019048
Deep Run-Broad Creek,030201040304,Pantego Creek,0302010403,Pamlico,03020104,Tar-Pamlico,030201,030201040305,40.576215662032524,25968.778020331872540,,1136,701,60146.079856747448503,159241361.993261963129044,105091922.414196267724037,0.0000000
Pantego Creek,030201040305,Pantego Creek,0302010403,Pamlico,03020104,Tar-Pamlico,030201,030201040603,36.311523477732372,23239.375022733864171,,994,1022,69667.928270223274012,142568854.444382458925247,94046453.447191029787064,0.0000000
Pungo Lake-Pungo River,030201040401,Headwaters Pungo River,0302010404,Pamlico,03020104,Tar-Pamlico,030201,030201040403,39.215152153047775,25097.697374694642349,,388,296,58860.368157104123384,154405795.702484786510468,101566811.237161219120026,47.4707375
Shallop Creek,030201040402,Headwaters Pungo River,0302010404,Pamlico,03020104,Tar-Pamlico,030201,030201040404,24.449764600422235,15647.849342240227998,,204,154,53722.155830537631118,96139109.814795002341270,63324294.477031737565994,60.0382500
Pungo Lake Canal-Pungo River,030201040403,Headwaters Pungo River,0302010404,Pamlico,03020104,Tar-Pamlico,030201,030201040404,48.193401669593989,30843.777064538775448,,793,519,74991.361628487138660,189420725.903642147779465,124820301.666622966527939,33.0298920
Clark Mill Creek-Pungo River,030201040404,Headwaters Pungo River,0302010404,Pamlico,03020104,Tar-Pamlico,030201,030201040505,26.991024960137352,17274.255972246908641,,366,398,53930.519566139177186,105948429.499279931187630,69906473.498124495148659,2.5549474
New Lake-New Lake Fork,030201040501,Intracoastal Waterway-Pungo River,0302010405,Pamlico,03020104,Tar-Pamlico,030201,030201040502,39.295354856653304,25149.027104995522677,,366,268,52428.158138380829769,154440272.873669594526291,101774554.440255835652351,55.0498734
Intracoastal Waterway-Alligator River,030201040502,Intracoastal Waterway-Pungo River,0302010405,Pamlico,03020104,Tar-Pamlico,030201,030201040503,55.340852205930339,35418.145407200609043,,516,413,72300.660281376622152,217314256.107558876276016,143332117.008433252573013,42.0068970
Florida Canal-Intracoastal Waterway,030201040503,Intracoastal Waterway-Pungo River,0302010405,Pamlico,03020104,Tar-Pamlico,030201,030201040504,32.091042067276348,20538.266920392426982,,269,197,49068.891839268850163,125888870.421332165598869,83115471.478977084159851,20.0994110
Wilkerson Creek-Ruman Creek,030201040504,Intracoastal Waterway-Pungo River,0302010405,Pamlico,03020104,Tar-Pamlico,030201,030201040505,54.121820711512761,34637.965250874571211,,454,334,73323.353703825807315,212547122.471095412969589,140175178.232922405004501,17.7739735
Town of Belhaven-Pungo River,030201040505,Intracoastal Waterway-Pungo River,0302010405,Pamlico,03020104,Tar-Pamlico,030201,030201040603,49.594265569060070,31740.329960080758610,,556,1140,66980.879073476142366,194342141.958407968282700,128448553.720837086439133,0.0000000
Acre Swamp-Pungo Swamp,030201040601,Outlet Pungo River,0302010406,Pamlico,03020104,Tar-Pamlico,030201,030201040602,42.666899759737142,27306.815842689244164,,1776,1553,56619.207642454799498,167602704.723564803600311,110506768.148553267121315,0.2422400
Pungo Swamp-Pungo Creek,030201040602,Outlet Pungo River,0302010406,Pamlico,03020104,Tar-Pamlico,030201,030201040603,40.744701233623452,26076.608786136079289,,1373,1116,68289.614127327731694,159632920.499593913555145,105528285.735418066382408,0.0924138
Slade Creek-Pungo River,030201040603,Outlet Pungo River,0302010406,Pamlico,03020104,Tar-Pamlico,030201,030201040604,38.719260138111885,24780.326485176843562,,423,357,62728.295643548073713,151539707.627161681652069,100282444.488223284482956,0.0000000
Pungo River,030201040604,Outlet Pungo River,0302010406,Pamlico,03020104,Tar-Pamlico,030201,030201040703,23.752853474313952,15201.826221588789849,,229,194,42845.406590469545336,92837524.278128489851952,61519516.623019933700562,0.0000000
Campbell Creek-Goose Creek,030201040701,Pamlico River,0302010407,Pamlico,03020104,Tar-Pamlico,030201,030201040703,53.122425250377511,33998.352155830987613,,1076,660,64556.249101627938217,206918662.492144346237183,137586448.670685321092606,0.2290927
Cedar Island-Oyster Creek,030201040702,Pamlico River,0302010407,Pamlico,03020104,Tar-Pamlico,030201,030201040703,12.717268857834977,8139.052067958503358,,357,130,31936.527965237055469,49566311.309024654328823,32937572.135374583303928,0.0000000
Pamlico River,030201040703,Pamlico River,0302010407,Pamlico,03020104,Tar-Pamlico,030201,030201050201,35.716211573531673,22858.375404094844271,,55,36,57269.742424714379013,139390389.017323166131973,92504624.840792700648308,0.0000000
Lake Mattamuskeet,030201050101,Lake Mattamuskeet-Rose Bay,0302010501,Pamlico Sound,03020105,Tar-Pamlico,030201,030201050102,116.969947852797077,74860.766616078413790,,990,815,107905.874488002504222,458249841.712240397930145,302950797.564091801643372,73.9163742
Rose Bay Canal-Rose Bay Creek,030201050102,Lake Mattamuskeet-Rose Bay,0302010501,Pamlico Sound,03020105,Tar-Pamlico,030201,030201050103,36.275771752425058,23216.493918540149025,,290,212,53137.899801001556625,141993102.582330405712128,93953788.256524354219437,5.6919589
Spencer Bay-Rose Bay,030201050103,Lake Mattamuskeet-Rose Bay,0302010501,Pamlico Sound,03020105,Tar-Pamlico,030201,030201050201,29.266274312477545,18730.415557555723353,,103,75,47527.870591421902645,114333648.517365783452988,75799376.032592579722404,13.1734667
Town of Swanquarter-Swanquarter Bay,030201050104,Lake Mattamuskeet-Rose Bay,0302010501,Pamlico Sound,03020105,Tar-Pamlico,030201,030201050203,46.247414484258918,29598.345266085903859,,290,212,60238.326588105628616,180687087.340476542711258,119780204.085370838642120,18.4700050
Juniper Bay Creek-Juniper Bay,030201050105,Lake Mattamuskeet-Rose Bay,0302010501,Pamlico Sound,03020105,Tar-Pamlico,030201,030201050106,32.210822222737526,20614.926219877634139,,239,191,51189.262230876149260,125828636.684778183698654,83425638.317271709442139,18.6514626
Juniper Bay-Lake Landing,030201050106,Lake Mattamuskeet-Rose Bay,0302010501,Pamlico Sound,03020105,Tar-Pamlico,030201,030201050203,30.377112226339804,19441.351822335338511,,62,52,52306.259855568649073,118454566.748073190450668,78676269.054001361131668,10.8294325
Outfall Canal-East Bluff Bay,030201050107,Lake Mattamuskeet-Rose Bay,0302010501,Pamlico Sound,03020105,Tar-Pamlico,030201,030201050203,25.713341984370217,16456.538867862025654,,188,162,46385.023422816651873,100430603.387748926877975,66597272.821477860212326,4.3560219
Gray Ditch-Wysocking Bay,030201050108,Lake Mattamuskeet-Rose Bay,0302010501,Pamlico Sound,03020105,Tar-Pamlico,030201,030201050204,40.217189932172268,25739.001553251120640,,243,210,56125.581736545762396,157219735.177838206291199,104161937.954575002193451,0.4905303
Deep Cove-Middle Ground,030201050201,Pamlico Sound-Ocracoke Inlet,0302010502,Pamlico Sound,03020105,Tar-Pamlico,030201,030201050203,89.987124549883688,57591.759704454161692,,117,48,86596.836149105511140,350509234.463304698467255,233064044.770833641290665,1.9661325
Middle Ground-Royal Shoal,030201050202,Pamlico Sound-Ocracoke Inlet,0302010502,Pamlico Sound,03020105,Tar-Pamlico,030201,030201050207,120.620484062869238,77197.109790221496951,,0,0,100909.133670240567881,468386431.546996772289276,312407061.306777536869049,0.0000000
Bluff Shoal-Middle Ground,030201050203,Pamlico Sound-Ocracoke Inlet,0302010502,Pamlico Sound,03020105,Tar-Pamlico,030201,030201050207,105.237089035570065,67351.736974027269753,,9,7,125293.379330057854531,409719003.911846578121185,272562864.682470917701721,0.6628875
Bluff Shoal-Gull Shoal,030201050204,Pamlico Sound-Ocracoke Inlet,0302010502,Pamlico Sound,03020105,Tar-Pamlico,030201,030201050207,205.637860087618179,131608.230439002043568,,12,10,143385.643607123056427,800622963.996903538703918,532599644.049286186695099,0.0000000
Howard Reef-Ocracoke Island,030201050205,Pamlico Sound-Ocracoke Inlet,0302010502,Pamlico Sound,03020105,Tar-Pamlico,030201,030201050207,24.620238641133049,15756.952728280995871,,21,19,71769.339620652812300,95646388.314002349972725,63766124.536910921335220,17.5826874
Town of Portsmouth-Portsmouth Island,030201050206,Pamlico Sound-Ocracoke Inlet,0302010502,Pamlico Sound,03020105,Tar-Pamlico,030201,030201050207,23.683065091277655,15157.161656451353338,,0,0,49331.677137364364171,91725165.382044315338135,61338870.570637211203575,8.1345129
Pamlico Sound-Ocracoke Inlet,030201050207,Pamlico Sound-Ocracoke Inlet,0302010502,Pamlico Sound,03020105,Tar-Pamlico,030201,030201050212,46.408398697907003,29701.375162807307788,,34,26,72313.227595866992488,179974496.966123461723328,120197171.619812995195389,9.2739544
Tar Hole Plains-Ocracoke Island,030201050208,Pamlico Sound-Ocracoke Inlet,0302010502,Pamlico Sound,03020105,Tar-Pamlico - Atlantic,030201,030201050209,8.848850935532308,5663.264598005979678,,13,11,58136.341567096809740,34340425.650159068405628,22918415.593790691345930,17.8249245
030201050209-Atlantic Ocean,030201050209,Pamlico Sound-Ocracoke Inlet,0302010502,Pamlico Sound,03020105,Tar-Pamlico - Atlantic,030201,OCEAN,32.281841551462811,20660.378590255917516,,0,0,55287.272114565210359,125227893.917717546224594,83609327.959026470780373,0.0000000
Old House Beach-Portsmouth Island,030201050210,Pamlico Sound-Ocracoke Inlet,0302010502,Pamlico Sound,03020105,Tar-Pamlico - Atlantic,030201,030201050211,14.162697068206919,9064.126122476534874,,0,0,76722.899516523524653,54748444.783245436847210,36681189.706105321645737,4.3684831
030201050211-Atlantic Ocean,030201050211,Pamlico Sound-Ocracoke Inlet,0302010502,Pamlico Sound,03020105,Tar-Pamlico - Atlantic,030201,OCEAN,48.869282661275811,31276.340899159025867,,0,0,80038.836730204697233,188762475.460973918437958,126570599.378762871026993,0.0000000
Ocracoke Inlet-Atlantic Ocean,030201050212,Pamlico Sound-Ocracoke Inlet,0302010502,Pamlico Sound,03020105,Tar-Pamlico - Atlantic,030201,OCEAN,12.279611724810019,7858.951502858867570,,0,0,33950.029610545425385,47549566.476150557398796,31804145.594396885484457,0.0000000
Otter Creek-Frontal Pamlico Sound,030201050301,Pamlico Sound-Hatteras Inlet,0302010503,Pamlico Sound,03020105,Tar-Pamlico,030201,030201050303,53.994505326632229,34556.483404561600764,,356,306,95524.672537232618197,211602103.648254543542862,139845142.270972430706024,14.7688046
Pains Bay-Long Shoal River,030201050302,Pamlico Sound-Hatteras Inlet,0302010503,Pamlico Sound,03020105,Tar-Pamlico,030201,030201050303,48.780822119264045,31219.726152278843074,,261,231,60762.349075120320776,191598851.656021207571030,126341984.031943485140800,75.5270767
Long Shoal-Gull Shoal,030201050303,Pamlico Sound-Hatteras Inlet,0302010503,Pamlico Sound,03020105,Tar-Pamlico,030201,030201050306,396.396853387448459,253693.986135055165505,,5,4,226510.179865941987373,1549478107.137268066406250,1026663118.572507619857788,0.2484457
Town of Avon-Hatteras Island,030201050304,Pamlico Sound-Hatteras Inlet,0302010503,Pamlico Sound,03020105,Tar-Pamlico,030201,030201050305,49.884142457094995,31925.851168399043672,,687,702,99341.366536970192101,194734302.179918646812439,129199356.338824853301048,8.4396067
Sandy Bay-Hatteras Island,030201050305,Pamlico Sound-Hatteras Inlet,0302010503,Pamlico Sound,03020105,Tar-Pamlico,030201,030201050306,47.320631275247173,30285.204012229278305,,1185,1212,67121.632536234406871,184252630.051957607269287,122559548.312536105513573,8.2390823
Pamlico Sound-Hatteras Inlet,030201050306,Pamlico Sound-Hatteras Inlet,0302010503,Pamlico Sound,03020105,Tar-Pamlico,030201,030201050309,20.043433981497408,12827.797746494185049,,165,80,50516.829405622745981,77942168.317240834236145,51912589.019066810607910,7.9321914
Cape Hatteras-Atlantic Ocean,030201050307,Pamlico Sound-Hatteras Inlet,0302010503,Pamlico Sound,03020105,Tar-Pamlico - Atlantic,030201,030201050308,15.463164698986153,9896.425406067270160,,496,486,72298.834034424988204,60136392.968212343752384,40049464.037419982254505,25.7873611
030201050308-Atlantic Ocean,030201050308,Pamlico Sound-Hatteras Inlet,0302010503,Pamlico Sound,03020105,Tar-Pamlico - Atlantic,030201,OCEAN,32.433076259972253,20757.168803689404740,,0,0,60545.263116821093718,126064815.470557138323784,84001223.198616221547127,0.0000000
Hatteras Inlet-Atlantic Ocean,030201050309,Pamlico Sound-Hatteras Inlet,0302010503,Pamlico Sound,03020105,Tar-Pamlico - Atlantic,030201,OCEAN,13.991699508217225,8954.687684097329111,,0,0,33428.657297237725288,54333573.574029207229614,36238561.829501703381538,0.0000000
Core Banks-Drum Inlet,030201050401,Cape Lookout Shoals-Core Banks,0302010504,Pamlico Sound,03020105,Tar-Pamlico,030201,030201050402,57.935849267693769,37078.943526513743564,,725,531,80636.763821711501805,223846932.588886350393295,150053160.197767734527588,21.5003242
Styron Bay-Cedar Inlet,030201050402,Cape Lookout Shoals-Core Banks,0302010504,Pamlico Sound,03020105,Tar-Pamlico,030201,030201050403,36.524463572990207,23375.656683681201685,,672,492,52886.469801774459484,140820207.457309126853943,94597908.086929216980934,6.2903752
Cape Lookout Shoals-Core Banks,030201050403,Pamlico Sound,0302010504,Pamlico Sound,03020105,Tar-Pamlico - Atlantic,030201,030201050404,26.210491972805368,16774.714860419244360,,0,0,156611.724151137255831,100627810.940057963132858,67884852.849440678954124,3.3695688
030201050404-Atlantic Ocean,030201050404,Pamlico Sound,0302010504,Pamlico Sound,03020105,Tar-Pamlico - Atlantic,030201,OCEAN,62.956200347892477,40291.968217424087925,,0,0,147351.774573739065090,241921268.403629153966904,163056166.480006009340286,0.0000000
North Flat River,030202010101,Flat River,0302020101,Upper Neuse,03020201,Neuse,030202,030202010104,40.162690908505475,25704.122178108900698,,4539,4538,75557.291543019484379,160583923.044479310512543,104020891.907234296202660,0.0000000
South Flat River,030202010102,Flat River,0302020101,Upper Neuse,03020201,Neuse,030202,030202010104,56.533612366605702,36181.511909933804418,,5325,5491,76694.267822586436523,225694351.510536372661591,146421383.745154142379761,0.0000000
Deep Creek,030202010103,Flat River,0302020101,Upper Neuse,03020201,Neuse,030202,030202010104,36.877561225283223,23601.639181119411660,,3411,3470,81304.598425592746935,147391536.736861795186996,95512445.309834018349648,0.0000000
Lake Michie-Flat River,030202010104,Flat River,0302020101,Upper Neuse,03020201,Neuse,030202,030202010404,41.285732831162356,26422.869008516059694,,3961,5217,88548.414280758952373,164495442.334578543901443,106929556.936004862189293,21.5168629
North Fork Little River,030202010201,Little River,0302020102,Upper Neuse,03020201,Neuse,030202,030202010203,32.866488023834904,21034.552332525519887,,2670,2898,80788.568289629154606,130983485.999788656830788,85123813.417748913168907,2.6266408
South Fork Little River,030202010202,Little River,0302020102,Upper Neuse,03020201,Neuse,030202,030202010203,39.127099046280115,25041.343386370652297,,3616,3529,81653.714615906734252,155792819.110138684511185,101338721.194497451186180,1.3438243
Mountain Creek-Little River,030202010203,Little River,0302020102,Upper Neuse,03020201,Neuse,030202,030202010304,32.880557671951401,21043.556907318907179,,11132,12358,79819.478101850138046,130833258.733776286244392,85160253.476601779460907,13.1290989
Lake Orange-East Fork Eno River,030202010301,Eno River,0302020103,Upper Neuse,03020201,Neuse,030202,030202010302,26.740452737910239,17113.889750042359083,,1909,2134,53690.545152898666856,106493106.457032904028893,69257454.563981845974922,1.0268619
Sevenmile Creek-Eno River,030202010302,Eno River,0302020103,Upper Neuse,03020201,Neuse,030202,030202010303,39.251363517268572,25120.872647792948555,,10792,10477,66460.340919775000657,155944563.614355742931366,101660564.736287623643875,2.7152822
Stony Creek-Eno River,030202010303,Eno River,0302020103,Upper Neuse,03020201,Neuse,030202,030202010304,47.679597886834138,30514.942643615133420,,12163,16601,86228.476364549249411,189450692.109665066003799,123489591.705687582492828,8.1120682
Crooked Creek-Eno River,030202010304,Eno River,0302020103,Upper Neuse,03020201,Neuse,030202,030202010404,41.190258209532026,26361.765250680571626,,37398,42760,98928.718811538768932,163612674.048039644956589,106682278.988632902503014,10.9725676
Upper Knap of Reeds Creek,030202010401,Upper Falls Lake,0302020104,Upper Neuse,03020201,Neuse,030202,030202010402,28.708569399860750,18373.484413527279685,,2118,2468,53913.289105890056817,114490364.541042208671570,74354853.571785703301430,14.5233545
Lower Knap of Reeds Creek,030202010402,Upper Falls Lake,0302020104,Upper Neuse,03020201,Neuse,030202,030202010404,18.819987268645139,12044.791850370314933,,9063,6806,48984.248269251504098,74899708.651472553610802,48743543.260384924709797,80.1641846
Ellerbe Creek,030202010403,Upper Falls Lake,0302020104,Upper Neuse,03020201,Neuse,030202,030202010404,26.924898927669137,17231.935311472741887,,49403,55784,71885.923169863803196,106841874.752678200602531,69735168.029989004135132,11.0136433
Panther Creek-Neuse River,030202010404,Upper Falls Lake,0302020104,Upper Neuse,03020201,Neuse,030202,030202010504,25.096196525942915,16061.565774519793194,,8286,9659,71512.034957892523380,99698451.273972660303116,64998850.606897629797459,35.8207626
Ledge Creek,030202010501,Middle Falls Lake,0302020105,Upper Neuse,03020201,Neuse,030202,030202010504,33.723759248714337,21583.205916377173708,,5498,6386,75491.622179421348847,134181350.834735423326492,87344135.142327487468719,13.9406929
Lick Creek,030202010502,Middle Falls Lake,0302020105,Upper Neuse,03020201,Neuse,030202,030202010504,21.793247749397988,13947.678557805274977,,5459,11616,52216.172470448182139,86348386.156555905938148,56444252.452418603003025,11.8814812
Beaverdam Creek,030202010503,Middle Falls Lake,0302020105,Upper Neuse,03020201,Neuse,030202,030202010504,52.520833618339466,33613.333511376586102,,9268,9942,80946.363792669522809,208791759.588604062795639,136028334.810617983341217,8.2294207
Little Lick Creek-Neuse River,030202010504,Middle Falls Lake,0302020105,Upper Neuse,03020201,Neuse,030202,030202010602,30.972956741953713,19822.692312278770260,,22693,28445,76527.107100859007915,122829192.312507763504982,80219590.042155817151070,27.7947941
New Light Creek,030202010601,Lower Falls Lake,0302020106,Upper Neuse,03020201,Neuse,030202,030202010602,22.025140462226211,14096.089893996084356,,4070,5409,44071.667713953371276,87429689.193609982728958,57044851.956922478973866,7.2068610
Upper Barton Creek-Neuse River,030202010602,Lower Falls Lake,0302020106,Upper Neuse,03020201,Neuse,030202,030202010604,37.233387198791306,23829.367804135039478,,21252,22794,65091.148693804723735,147501690.759798139333725,96434030.198062121868134,16.3181210
Horse Creek,030202010603,Lower Falls Lake,0302020106,Upper Neuse,03020201,Neuse,030202,030202010604,21.848078512928922,13982.770246460519047,,7499,11313,49198.244424565047666,86658473.331476777791977,56586263.441134296357632,6.4684153
Honeycutt Creek-Neuse River,030202010604,Lower Falls Lake,0302020106,Upper Neuse,03020201,Neuse,030202,030202010704,17.212992147925917,11016.314973243435816,,9742,10632,41899.733425300728413,68147142.690224260091782,44581444.994499713182449,23.9485302
Richland Creek,030202010701,Milburnie Lake-Neuse River,0302020107,Upper Neuse,03020201,Neuse,030202,030202010704,14.144215420757428,9052.297868110395939,,17896,22738,44547.233566530776443,56068914.385145694017410,36633349.827136822044849,1.2239618
Smith Creek,030202010702,Milburnie Lake-Neuse River,0302020107,Upper Neuse,03020201,Neuse,030202,030202010704,23.477451014221653,15025.568647152585982,,18742,34507,49194.984622884534474,92997060.361953318119049,60806319.053324989974499,1.3901721
Harris Creek,030202010703,Milburnie Lake-Neuse River,0302020107,Upper Neuse,03020201,Neuse,030202,030202010704,18.848861484162086,12063.271348298761950,,10337,12524,43574.168269551002595,74502564.483111456036568,48818327.116072706878185,0.6015996
Perry Creek-Neuse River,030202010704,Milburnie Lake-Neuse River,0302020107,Upper Neuse,03020201,Neuse,030202,030202010705,31.576777905154106,20209.137856676887168,,61277,74923,65945.063893756829202,124879294.767626360058784,81783479.366005405783653,3.4926362
Mingo Creek-Neuse River,030202010705,Milburnie Lake-Neuse River,0302020107,Upper Neuse,03020201,Neuse,030202,030202011103,23.948192232482285,15326.843026800303051,,31072,41133,49105.473721155707608,94519599.721061140298843,62025533.107352979481220,1.3114648
Upper Crabtree Creek,030202010801,Crabtree Creek,0302020108,Upper Neuse,03020201,Neuse,030202,030202010803,52.634373267685426,33685.998886948575091,,79581,105413,83781.973077078728238,207951276.208432883024216,136322400.930828303098679,0.8077588
Turkey Creek,030202010802,Crabtree Creek,0302020108,Upper Neuse,03020201,Neuse,030202,030202010803,16.100356841628066,10304.228377305191316,,25836,29338,39531.252541505768022,63662941.010170377790928,41699732.740258447825909,27.8043880
Middle Crabtree Creek,030202010803,Crabtree Creek,0302020108,Upper Neuse,03020201,Neuse,030202,030202010804,40.167922549471356,25707.470428326629190,,83463,93545,73296.223039199612685,158673849.038293600082397,104034441.773810699582100,10.1109133
Lower Crabtree Creek,030202010804,Crabtree Creek,0302020108,Upper Neuse,03020201,Neuse,030202,030202011103,36.367717785527425,23275.339379718032433,,98263,111757,59640.791308588923130,143542082.307427138090134,94191956.727918237447739,0.2753759
Upper Middle Creek,030202010901,Middle Creek,0302020109,Upper Neuse,03020201,Neuse,030202,030202010902,56.755472193782850,36323.502199308764830,,54868,77310,82368.178569453724776,223079417.732789665460587,146995997.717572212219238,1.0674651
Middle Middle Creek,030202010902,Middle Creek,0302020109,Upper Neuse,03020201,Neuse,030202,030202010903,26.636655073232415,17047.459244657169620,,15043,17592,51656.625759330025176,104585260.238135650753975,68988619.951851934194565,1.2166386
Lower Middle Creek,030202010903,Middle Creek,0302020109,Upper Neuse,03020201,Neuse,030202,030202011007,48.421997703072691,30990.078525946166337,,18662,25916,97190.495066451156163,189853724.014763265848160,125412398.314218774437904,0.8705909
Lake Wheeler-Swift Creek,030202011001,Swift Creek,0302020110,Upper Neuse,03020201,Neuse,030202,030202011002,35.799609237077853,22911.749908757472440,,57857,62221,62539.485525258023699,140998521.353562891483307,92720562.271826818585396,0.2269817
Lake Benson-Swift Creek,030202011002,Swift Creek,0302020110,Upper Neuse,03020201,Neuse,030202,030202011004,30.404304721950925,19458.755019524200179,,29479,34480,58598.664112935301091,119663357.943777859210968,78746787.712346866726875,2.8885167
