ProjectID,ProjectNam,ProjectMet,Status,Status_Rea,RiverBasin,CU,HUC,County,Ecoregion,GIS_Acres,Shape_STAr,Shape_STLe,BUFF_DIST,ORIG_FID
95717,Norman's Pasture Stream and Riparian Wetland,Full Delivery,Inactive,Long Term Mangement,Cape Fear,03030006,03030006110040,Sampson,Southern Inner Coastal Plain,36.919923930000003,1608231.886329999892041,6445.017984979999710,1.000000000000000,336
92026,North Fork Upper Tar River Winslow,Design-Bid-Build,Inactive,Long Term Mangement,Tar-Pamlico,03020101,03020101010040,Granville,Central Piedmont,36.793926100000000,1602743.420900000026450,6587.849990290000278,1.000000000000000,337
92611,North Muddy Creek,Full Delivery,Inactive,Long Term Mangement,Catawba,03050101,03050101040010,McDowell,Northern Mountains,34.653593899999997,1509510.550400000065565,18672.100631500001327,1.000000000000000,338
92128,North Pacolet Childers,Design-Bid-Build,Inactive,Long Term Mangement,Broad,03050105,03050105150010,Polk,Southern Piedmont,39.840318369999999,1735444.268369999947026,6226.076424720000432,1.000000000000000,339
272,Northgate Park (Ellerbe) (G),Design-Bid-Build,Inactive,Long Term Mangement,Neuse,03020201,03020201050010,Durham,Central Piedmont,7.539858120000000,328457.908424000022933,7050.959847070000251,1.000000000000000,340
628,Norwood Gainey Site (G),Design-Bid-Build,Inactive,Long Term Mangement,Neuse,03020202,03020202010030,Wayne,Northern Inner Coastal Plain,58.384326379999997,2543221.256920000072569,9079.880610969999907,1.000000000000000,341
273,Oakley Crossroads (G),Design-Bid-Build,Inactive,Long Term Mangement,Tar-Pamlico,03020103,03020103090020,Pitt,Northern Inner Coastal Plain,26.610937780000000,1159200.004040000028908,9620.662568390000160,1.000000000000000,342
92708,Obids Creek(Wild site),Design-Bid-Build,Inactive,Long Term Mangement,New,05050001,05050001010010,Ashe,Northern Mountains,2.597015240000000,113119.745074000005843,3684.053960440000083,1.000000000000000,343
92170,Old Cove Tract-Green River-Burdett Property,Design-Bid-Build,Inactive,Long Term Mangement,Broad,03050105,03050105020020,Polk,Southern Piedmont,23.981000479999999,1044612.381070000003092,4755.169115740000052,1.000000000000000,344
275,Open Springs,Full Delivery,Inactive,Long Term Mangement,Cape Fear,03030003,03030003020020,Randolph,Central Piedmont,15.143592900000000,659654.906883000046946,10043.247235099999671,1.000000000000000,345
276,Paschal GC (Richland Ck) (G),Design-Bid-Build,Active,Active,Neuse,03020201,03020201070060,Wake,Central Piedmont,8.530831969999999,371610.250820000015665,6343.286224290000064,1.000000000000000,346
279,Payne Dairy,Design-Bid-Build,Inactive,Long Term Mangement,Catawba,03050101,03050101120040,Alexander,Central Piedmont,40.216359050000001,1751824.600189999910071,16158.151443599999766,1.000000000000000,347
95713,Pepperwood Riparian Buffer Mitigation Site,Full Delivery,Inactive,Long Term Mangement,Neuse,03020201,03020201120010,Wake,Central Piedmont,12.649712870000000,551021.492821000050753,12098.696772900000724,1.000000000000000,348
283,Perry Property (UT to Pembroke),Design-Bid-Build,Inactive,Long Term Mangement,Pasquotank,03010205,03010205120010,Chowan,Northern Outer Coastal Plain,59.403305349999997,2587607.980930000077933,15004.949163799999951,1.000000000000000,349
92159,Pickler's Bluff,Design-Bid-Build,Inactive,Long Term Mangement,Yadkin,03040102,03040102050030,Rowan,Central Piedmont,10.531182899999999,458738.327149000018835,2759.999803610000072,1.000000000000000,350
92518,Pinch Gut Tributary,Full Delivery,Inactive,Long Term Mangement,Roanoke,03010103,03010103170030,Stokes,Central Piedmont,31.777226620000000,1384215.991669999901205,21450.310263300001679,1.000000000000000,351
92607,Plemmons-Kirkpatrick Spring Creek WRC,Design-Bid-Build,Inactive,Long Term Mangement,French Broad,06010105,06010105120010,Madison,Northern Mountains,2.099508320000000,91454.582438500001444,1624.469502839999905,1.000000000000000,352
92549,Plum Creek,Full Delivery,Inactive,Long Term Mangement,Lumber,03040207,03040207020010,Brunswick,Southern Outer Coastal Plain,89.361706310000002,3892595.926930000074208,8276.317849920000299,1.000000000000000,353
285,Pott Creek,Full Delivery,Inactive,Long Term Mangement,Catawba,03050102,03050102040020,Lincoln,Southern Piedmont,75.234461980000006,3277213.163860000204295,11917.789267899999686,1.000000000000000,354
286,Pott Creek II,Full Delivery,Inactive,Long Term Mangement,Catawba,03050102,03050102040020,Catawba,Central Piedmont,90.081442159999995,3923947.620569999795407,19327.257270999998582,1.000000000000000,355
92548,Powell Property,Full Delivery,Inactive,Long Term Mangement,Chowan,03010203,03010203050011,Bertie,Northern Outer Coastal Plain,55.949494090000002,2437159.962720000185072,9649.966479329999856,1.000000000000000,356
289,Prestonwood G.C.,Design-Bid-Build,Inactive,Long Term Mangement,Neuse,03020201,03020201080010,Wake,Central Piedmont,9.321715190000001,405975.168972000014037,10448.725805899999614,1.000000000000000,357
291,Price Park,Design-Bid-Build,Inactive,Long Term Mangement,Cape Fear,03030002,03030002020010,Guilford,Central Piedmont,8.244436909999999,358923.108421000011731,4343.296849749999637,1.000000000000000,358
293,Privateer Farms,Full Delivery,Inactive,Long Term Mangement,Cape Fear,03030005,03030005010020,Cumberland,Southern Inner Coastal Plain,430.000072219999993,18730803.145799998193979,51775.492879199999152,1.000000000000000,359
92522,Puzzle Creek,Full Delivery,Inactive,Long Term Mangement,Broad,03050105,03050105070050,Rutherford,Southern Piedmont,11.407992200000001,496932.140210999990813,8382.767116639999585,1.000000000000000,360
92167,Rankin Tract,Design-Bid-Build,Inactive,Long Term Mangement,Catawba,03050101,03050101160040,Gaston,Southern Piedmont,506.137016979999999,22047328.459600001573563,31556.027642699998978,1.000000000000000,361
92220,Reeds Creek,Full Delivery,Inactive,Long Term Mangement,Catawba,03050101,03050101150010,Iredell,Central Piedmont,15.098921989999999,657709.041950999991968,5103.977428899999722,1.000000000000000,362
301,Reedy Branch,Design-Bid-Build,Inactive,Long Term Mangement,Cape Fear,03030002,03030002050050,Alamance,Central Piedmont,15.534628800000000,676688.430339999962598,5144.939679850000175,1.000000000000000,363
92050,Reedy Creek Johnston,Design-Bid-Build,Inactive,Long Term Mangement,Tar-Pamlico,03020102,03020102030010,Warren,Central Piedmont,64.687281600000006,2817777.986570000182837,17564.308906499998557,1.000000000000000,364
92344,Rhodes Pond,Design-Bid-Build,Inactive,Long Term Mangement,Cape Fear,03030006,03030006010010,Cumberland,Southern Inner Coastal Plain,702.976017619999993,30621635.327399998903275,42896.556797999997798,1.000000000000000,365
303,Rich Fork FDP (Bodenheimer-Parker),Full Delivery,Inactive,Long Term Mangement,Yadkin,03040103,03040103030030,Davidson,Central Piedmont,26.525429650000000,1155447.715360000031069,5143.788711870000043,1.000000000000000,366
92758,Rockwell Pastures,Full Delivery,Inactive,Long Term Mangement,Yadkin,03040104,03040104010020,Stanly,Southern Piedmont,51.077610530000001,2224940.714860000181943,37054.001312000000325,1.000000000000000,367
308,Rocky Branch,Design-Bid-Build,Inactive,Long Term Mangement,Yadkin,03040102,03040102020030,Yadkin,Central Piedmont,24.095383129999998,1049594.888959999894723,8103.446016240000063,1.000000000000000,368
312,Roquist,Design-Bid-Build,Inactive,Long Term Mangement,Roanoke,03010107,03010107130010,Bertie,Northern Outer Coastal Plain,3904.679768810000041,170087850.729000002145767,98093.551902599996538,1.000000000000000,369
96309,Roses Creek Stream Mitigation Site,Full Delivery,Inactive,Long Term Mangement,Catawba,03050101,03050101060030,Burke,Northern Mountains,17.612212570000001,767187.979453000007197,9265.823176070000045,1.000000000000000,370
