,ProjectID,ProjectNam,ProjectMet,Status,Status_Rea,RiverBasin,CU,HUC,County,Ecoregion,GIS_Acres,Shape_STAr,Shape_STLe,BUFF_DIST,ORIG_FID,FREQUENCY,COUNT_ProjectID
286,92009,Mayo River & Buffalo Creek Gorrell,Design-Bid-Build,Inactive,Long Term Mangement,Roanoke,03010103,03010103220020,Rockingham,Central Piedmont,78.22637652,3407540.96102,8616.48425302,1.0,287,,
287,92010,Mayo River Grogan,Design-Bid-Build,Inactive,Long Term Mangement,Roanoke,03010103,03010103220020,Rockingham,Central Piedmont,81.31277629999998,3541984.53546,9337.84088307,1.0,288,,
288,92011,Mayo River Hickory Creek Robertson,Design-Bid-Build,Inactive,Long Term Mangement,Roanoke,03010103,03010103220020,Rockingham,Central Piedmont,166.34268593,7245887.398919999,12490.9689233,1.0,289,,
289,443,McCain Property,Design-Bid-Build,Inactive,Long Term Mangement,Yadkin,03040103,03040103050050,Randolph,Central Piedmont,12.86970155,560604.19947,5188.43051722,1.0,290,,
297,92706,Meat Camp Creek (Miller site),Design-Bid-Build,Inactive,Long Term Mangement,New,05050001,05050001020020,Watauga,Northern Mountains,0.71686493,31221.5474816,1325.26656819,1.0,298,,
298,247,Meredell Farm Site,Design-Bid-Build,Inactive,Long Term Mangement,Cape Fear,03030003,03030003020010,Randolph,Central Piedmont,55.3733068,2412061.24405,29440.6334204,1.0,299,,
299,92703,Middle Fork Creek (Phillips/Willis),Design-Bid-Build,Inactive,Long Term Mangement,French Broad,06010105,06010105110020,Madison,Northern Mountains,7.2631847,316397.094147,10692.1946682,1.0,300,,
302,251,Mill Branch,Design-Bid-Build,Inactive,Long Term Mangement,Lumber,03040206,03040206060020,Columbus,Southern Inner Coastal Plain,72.30606946999998,3149652.38619,17650.9258483,1.0,303,,
304,92156,Mingo Tract,Design-Bid-Build,Inactive,Long Term Mangement,Yadkin,03040101,03040101010020,Caldwell,Northern Mountains,5648.31185518,246040464.412,216009.949312,1.0,305,,
305,256,Mocassin Creek (G),Design-Bid-Build,Inactive,Long Term Mangement,Neuse,03020203,03020203010010,Wake,Central Piedmont,83.10924738999998,3620238.81619,10699.062227,1.0,306,,
308,725,Moore Property (G),Design-Bid-Build,Inactive,Long Term Mangement,Neuse,03020201,03020201110070,Johnston,Northern Inner Coastal Plain,84.19971128,3667739.4232,8161.539280369999,1.0,309,,
314,92270,Moye Farm Phase I (G),Full Delivery,Inactive,Long Term Mangement,Neuse,03020203,03020203050040,Greene,Northern Inner Coastal Plain,37.29502262,1624571.18522,13093.5907143,1.0,315,,
317,93482,Mud Lick Creek - Thomas Site,Design-Bid-Build,Active,Active,Cape Fear,03030003,03030003070010,Chatham,Central Piedmont,11.15462072,485893.334972,6290.16611851,1.0,318,,
322,92179,Needmore Tract,Design-Bid-Build,Inactive,Long Term Mangement,Little Tennessee,06010202,06010202060010,Swain,Southern Mountains,4053.85421896,176585948.554,219973.483664,1.0,323,,
324,265,Neu-Con MBI (Marston),Full Delivery,Inactive,Credit Purchase Complete,Neuse,03020204,03020204010040,Jones,Southern Outer Coastal Plain,86.10961134,3750934.66997,11130.9436271,1.0,325,,
325,263,Neu-Con MBI (Nahunta),Full Delivery,Inactive,Credit Purchase Complete,Neuse,03020203,03020203060020,Wayne,Northern Inner Coastal Plain,188.58348715,8214696.70008,30306.1685578,1.0,326,,
328,92173,New River Heights Tract-New River,Design-Bid-Build,Inactive,Long Term Mangement,New,05050001,05050001020070,Ashe,Northern Mountains,109.91313144,4787816.00546,9836.37982674,1.0,329,,
340,628,Norwood Gainey Site (G),Design-Bid-Build,Inactive,Long Term Mangement,Neuse,03020202,03020202010030,Wayne,Northern Inner Coastal Plain,58.38432638,2543221.25692,9079.880610970002,1.0,341,,
341,273,Oakley Crossroads (G),Design-Bid-Build,Inactive,Long Term Mangement,Tar-Pamlico,03020103,03020103090020,Pitt,Northern Inner Coastal Plain,26.61093778,1159200.00404,9620.66256839,1.0,342,,
342,92708,Obids Creek(Wild site),Design-Bid-Build,Inactive,Long Term Mangement,New,05050001,05050001010010,Ashe,Northern Mountains,2.59701524,113119.745074,3684.05396044,1.0,343,,
344,275,Open Springs,Full Delivery,Inactive,Long Term Mangement,Cape Fear,03030003,03030003020020,Randolph,Central Piedmont,15.1435929,659654.906883,10043.2472351,1.0,345,,
351,92607,Plemmons-Kirkpatrick Spring Creek WRC,Design-Bid-Build,Inactive,Long Term Mangement,French Broad,06010105,06010105120010,Madison,Northern Mountains,2.09950832,91454.5824385,1624.46950284,1.0,352,,
352,92549,Plum Creek,Full Delivery,Inactive,Long Term Mangement,Lumber,03040207,03040207020010,Brunswick,Southern Outer Coastal Plain,89.36170631,3892595.92693,8276.31784992,1.0,353,,
353,285,Pott Creek,Full Delivery,Inactive,Long Term Mangement,Catawba,03050102,03050102040020,Lincoln,Southern Piedmont,75.23446198,3277213.16386,11917.7892679,1.0,354,,
358,293,Privateer Farms,Full Delivery,Inactive,Long Term Mangement,Cape Fear,03030005,03030005010020,Cumberland,Southern Inner Coastal Plain,430.00007222,18730803.1458,51775.4928792,1.0,359,,
364,92344,Rhodes Pond,Design-Bid-Build,Inactive,Long Term Mangement,Cape Fear,03030006,03030006010010,Cumberland,Southern Inner Coastal Plain,702.97601762,30621635.3274,42896.556798,1.0,365,,
365,303,Rich Fork FDP (Bodenheimer-Parker),Full Delivery,Inactive,Long Term Mangement,Yadkin,03040103,03040103030030,Davidson,Central Piedmont,26.52542965,1155447.71536,5143.78871187,1.0,366,,
367,308,Rocky Branch,Design-Bid-Build,Inactive,Long Term Mangement,Yadkin,03040102,03040102020030,Yadkin,Central Piedmont,24.09538313,1049594.88896,8103.44601624,1.0,368,,
370,97005,Rough Horn Swamp Restoration Site,Full Delivery,Active,Active,Lumber,03040203,03040203190010,Columbus,Southern Inner Coastal Plain,33.49754786,1459153.18496,7306.93080354,1.0,371,,
372,746,Rowel Branch,Full Delivery,Inactive,Long Term Mangement,Cape Fear,03030005,03030005040010,Brunswick,Southern Outer Coastal Plain,16.46949639,717411.2629,9072.11829017,1.0,373,,
373,92675,SALT (Sandhill Area Land Trust),Design-Bid-Build,Inactive,Long Term Mangement,Cape Fear,03030004,03030004070050,Moore,Southern Piedmont,346.69200127,15101966.1899,21238.9116305,1.0,374,,
377,80,Sandy Creek -- Charles Williams (G),Design-Bid-Build,Inactive,Long Term Mangement,Cape Fear,03030003,03030003020010,Randolph,Central Piedmont,18.00349117,784232.075157,10772.7900627,1.0,378,,
380,92175,Sandymush HQP-Progress Energy,Design-Bid-Build,Inactive,Long Term Mangement,French Broad,06010105,06010105100020,Madison,Northern Mountains,2684.19603037,116923579.083,218256.002117,1.0,381,,
393,92059,Shocco Creek Gupton,Design-Bid-Build,Inactive,Long Term Mangement,Tar-Pamlico,03020102,03020102010040,Franklin,Central Piedmont,179.94926968,7838590.187409999,18373.8100502,1.0,394,,
396,336,Silver Creek,Full Delivery,Inactive,Long Term Mangement,Catawba,03050101,03050101050050,Burke,Northern Mountains,31.7624713,1383577.73667,18234.5095406,1.0,397,,
401,340,Sleepy Creek,Full Delivery,Inactive,Long Term Mangement,Neuse,03020202,03020202030030,Lenoir,Southern Inner Coastal Plain,115.59940531,5035510.09537,10670.8801902,1.0,402,,
402,95017,Sliver Moon Non-Riparian Wetland Mitigation Site,Full Delivery,Inactive,Long Term Mangement,Neuse,03020202,03020202080010,Craven,Southern Outer Coastal Plain,17.08217208,744099.415994,3698.8605957,1.0,403,,
403,343,Smith/Austin Creek (G),Design-Bid-Build,Inactive,Long Term Mangement,Neuse,03020201,03020201070070,Wake,Central Piedmont,36.75637428,1601107.66377,21056.6845092,1.0,404,,
406,346,South Fork,Full Delivery,Inactive,Long Term Mangement,Catawba,03050102,03050102040010,Catawba,Central Piedmont,67.79676616,2953227.13403,21952.4743434,1.0,407,,
